split,count,overall,text_edit,text_edit_ned,reading_order,reading_order_ned,table_teds,table_teds_s,formula_cdm
fail,98,0.7675,0.635,0.3895,0.6349,0.3896,0.7994,0.7868,0.9812
success,100,0.9419,0.8701,0.1299,0.8701,0.1299,0.9859,0.9834,1.0
