filename,heading_structure_p,heading_structure_r,heading_structure_f1,level_p,level_r,level_f1,list_p,list_r,list_f1,text_edit,text_edit_sim,paragraph_pairs,contents_sim
average,0.2627,0.2483,0.2425,0.1635,0.1629,0.1528,0.5575,0.5575,0.5575,0.4856,0.5144,12.4477,0.6162
code_block/BankApp.java/BankApp.java.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9699,0.0301,7.0,0.0883
code_block/StudentGradeApp.java/StudentGradeApp.java.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9541,0.0459,4.0,0.006
code_block/TodoApp.java/TodoApp.java.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6199,0.3801,4.0,0.1308
code_block/account_book.c/account_book.c.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9109,0.0891,19.0,0.117
code_block/flashcards.py/flashcards.py.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.821,0.179,7.0,0.1244
code_block/image_tool.py/image_tool.py.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7792,0.2208,4.0,0.1179
code_block/log_analyzer.py/log_analyzer.py.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888,0.1112,18.0,0.1054
code_block/md_to_html.c/md_to_html.c.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9869,0.0131,45.0,0.0
code_block/news_crawler.c/news_crawler.c.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8947,0.1053,3.0,0.0234
code_block/notepad.c/notepad.c.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.642,0.358,2.0,0.0604
eval_split/fail/processed_00_documents_eval/01d2/db669daf7d99d762eb952d64d207e27fef79-2/db669daf7d99d762eb952d64d207e27fef79-2.md,1.0,1.0,1.0,0.6,0.6,0.6,0.0,0.0,0.0,0.9309,0.0691,35.0,0.6635
eval_split/fail/processed_00_documents_eval/01d2/db669daf7d99d762eb952d64d207e27fef79-4/db669daf7d99d762eb952d64d207e27fef79-4.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6345,0.3655,23.0,0.3055
eval_split/fail/processed_00_documents_eval/04b4/edfed83e087cbef4bd1262c408886b04ce7e-1/edfed83e087cbef4bd1262c408886b04ce7e-1.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7755,0.2245,22.0,0.6408
eval_split/fail/processed_00_documents_eval/04b4/edfed83e087cbef4bd1262c408886b04ce7e-2/edfed83e087cbef4bd1262c408886b04ce7e-2.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6823,0.3177,22.0,0.3703
eval_split/fail/processed_00_documents_eval/061d/ad0ccb6efb83bb8b2584546e86354a7d2e59-26/ad0ccb6efb83bb8b2584546e86354a7d2e59-26.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0132,0.9868,13.0,0.9969
eval_split/fail/processed_00_documents_eval/0727/b0fcb8cb066698f2e2e815f2f3d2b727d45f-1/b0fcb8cb066698f2e2e815f2f3d2b727d45f-1.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7356,0.2644,8.0,0.4013
eval_split/fail/processed_00_documents_eval/07fb/d9477c8bed00f49d631d1fc90d29d1d70c8f-2/d9477c8bed00f49d631d1fc90d29d1d70c8f-2.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.25,2.0,0.0706
eval_split/fail/processed_00_documents_eval/07fb/d9477c8bed00f49d631d1fc90d29d1d70c8f-4/d9477c8bed00f49d631d1fc90d29d1d70c8f-4.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
eval_split/fail/processed_00_documents_eval/07fb/d9477c8bed00f49d631d1fc90d29d1d70c8f-6/d9477c8bed00f49d631d1fc90d29d1d70c8f-6.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9597,0.0403,13.0,0.0
eval_split/fail/processed_00_documents_eval/081f/70c4bbf2e4aeecf752051b7569e19f47d62e-5/70c4bbf2e4aeecf752051b7569e19f47d62e-5.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9265,0.0735,27.0,0.6077
eval_split/fail/processed_00_documents_eval/0850/3b484b359d8d950fd2641fb8e05f18a31d7c-11/3b484b359d8d950fd2641fb8e05f18a31d7c-11.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0193,0.9807,19.0,0.9714
eval_split/fail/processed_00_documents_eval/088b/c38f32e301a7ced88d9d6302be1bc28b7412-1/c38f32e301a7ced88d9d6302be1bc28b7412-1.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.362,0.638,18.0,0.3769
eval_split/fail/processed_00_documents_eval/0949/c1ac48c76a8e756f5c7a0f5c4175eca4cab0-17/c1ac48c76a8e756f5c7a0f5c4175eca4cab0-17.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7778,0.2222,2.0,0.0
eval_split/fail/processed_00_documents_eval/0949/c1ac48c76a8e756f5c7a0f5c4175eca4cab0-18/c1ac48c76a8e756f5c7a0f5c4175eca4cab0-18.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7017,0.2983,6.0,0.9265
eval_split/fail/processed_00_documents_eval/09a8/e9a23c9ff1a999ab816150f7b3b864404435-1/e9a23c9ff1a999ab816150f7b3b864404435-1.md,0.75,0.6,0.6667,0.75,0.6,0.6667,0.0,0.0,0.0,0.7812,0.2188,25.0,0.69
eval_split/fail/processed_00_documents_eval/0a29/c89f314b8bdc504d35270d7c3d021a692bab-97/c89f314b8bdc504d35270d7c3d021a692bab-97.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0105,0.9895,3.0,0.9608
eval_split/fail/processed_00_documents_eval/0ba8/a3e6ed64a2173f29dc26d194b0b72d362581-3/a3e6ed64a2173f29dc26d194b0b72d362581-3.md,0.125,0.125,0.125,0.125,0.125,0.125,1.0,1.0,1.0,0.8003,0.1997,24.0,0.7411
eval_split/fail/processed_00_documents_eval/0c3c/8aa760bff3904d0693fd828eeee815a57afe-8/8aa760bff3904d0693fd828eeee815a57afe-8.md,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0,0.0407,0.9593,12.0,0.8372
eval_split/fail/processed_00_documents_eval/0c45/277a4d753f9de0d8a9155e6d13ad749ea05d-4/277a4d753f9de0d8a9155e6d13ad749ea05d-4.md,0.3333,0.5,0.4,0.3333,0.5,0.4,1.0,1.0,1.0,0.1482,0.8518,6.0,0.6055
eval_split/fail/processed_00_documents_eval/0c8f/431e55703d66d313eca3a42c6307951a81d8-141/431e55703d66d313eca3a42c6307951a81d8-141.md,0.0,0.0,0.0,0.0,0.0,0.0,0.5455,0.5455,0.5455,0.0655,0.9345,23.0,0.8986
