split,count,overall,text_edit,text_edit_ned,reading_order,reading_order_ned,table_teds,table_teds_s,formula_cdm
fail,99,0.6511,0.3999,0.9613,0.3998,0.9611,0.748,0.7335,0.9745
success,100,0.8423,0.6961,1.892,0.6961,1.892,0.9108,0.9083,1.0
