filename,reading_order,reading_order_ned
eval_split/fail/processed_00_documents_eval/207e/5c9f96d0b2bc893b7a8eeffe82d35eec45bf-1/5c9f96d0b2bc893b7a8eeffe82d35eec45bf-1.md,0.8587,0.1413
eval_split/fail/processed_00_documents_eval/207e/5c9f96d0b2bc893b7a8eeffe82d35eec45bf-2/5c9f96d0b2bc893b7a8eeffe82d35eec45bf-2.md,0.9373,0.0627
eval_split/fail/processed_00_documents_eval/207e/5c9f96d0b2bc893b7a8eeffe82d35eec45bf-3/5c9f96d0b2bc893b7a8eeffe82d35eec45bf-3.md,0.9204,0.0796
eval_split/fail/processed_00_documents_eval/2144/76af4c58afaf6b514e493b5ebc37de7ae740-1/76af4c58afaf6b514e493b5ebc37de7ae740-1.md,0.7343,0.2657
eval_split/fail/processed_00_documents_eval/2144/76af4c58afaf6b514e493b5ebc37de7ae740-2/76af4c58afaf6b514e493b5ebc37de7ae740-2.md,0.6531,0.3469
eval_split/fail/processed_00_documents_eval/2277/002c7d3e4f836eb572be027dd64a69601222-2/002c7d3e4f836eb572be027dd64a69601222-2.md,0.4388,0.5612
eval_split/fail/processed_00_documents_eval/2307/999a8e4c977d8537073c93f758949ad9aebd-1/999a8e4c977d8537073c93f758949ad9aebd-1.md,0.917,0.083
eval_split/fail/processed_00_documents_eval/237a/ffd7475df298e4cb3b0e6d8433024d18804b-1/ffd7475df298e4cb3b0e6d8433024d18804b-1.md,0.7401,0.2599
eval_split/fail/processed_00_documents_eval/244d/fa2d6b2d14c67ee657861d46ddc23f70159a-3/fa2d6b2d14c67ee657861d46ddc23f70159a-3.md,0.5395,0.4605
eval_split/fail/processed_00_documents_eval/2b61/25b2540c112810da2be4b4a7b4866ba38e7b-100/25b2540c112810da2be4b4a7b4866ba38e7b-100.md,0.9777,0.0223
eval_split/fail/processed_00_documents_eval/2c7c/85ae8de0456f29639a02f2c64012420f5f7e-3/85ae8de0456f29639a02f2c64012420f5f7e-3.md,0.9802,0.0198
eval_split/fail/processed_00_documents_eval/2c7c/85ae8de0456f29639a02f2c64012420f5f7e-7/85ae8de0456f29639a02f2c64012420f5f7e-7.md,0.7146,0.2854
eval_split/fail/processed_00_documents_eval/2c7c/85ae8de0456f29639a02f2c64012420f5f7e-8/85ae8de0456f29639a02f2c64012420f5f7e-8.md,0.5018,0.4982
eval_split/fail/processed_00_documents_eval/2c7e/b9a3bab6f4c9897dd051993321a75d83bcc9-1/b9a3bab6f4c9897dd051993321a75d83bcc9-1.md,0.9859,0.0141
eval_split/fail/processed_00_documents_eval/2d93/72e7afcb113e49363d6fd8fe2aa43d3e7364-16/72e7afcb113e49363d6fd8fe2aa43d3e7364-16.md,0.8191,0.1809
