filename,code_ted,code_ted_distance,code_nodes_pred,code_nodes_gt
eval_split/succes/processed_00_documents_eval/15ef/bea14f61ed341c3bcc1b7ef4e1ae3b22664b-1/bea14f61ed341c3bcc1b7ef4e1ae3b22664b-1.md,0.0068,12.75,37.0,20.0
eval_split/succes/processed_00_documents_eval/19e0/782bf72ebc90516e87030ef592549551f151-1/782bf72ebc90516e87030ef592549551f151-1.md,0.0152,19.0,33.0,12.0
eval_split/succes/processed_00_documents_eval/22d6/4b9b312f8e52a78068c20288594c2ab007d4-1/4b9b312f8e52a78068c20288594c2ab007d4-1.md,0.0007,7.1667,79.0,54.0
eval_split/succes/processed_00_documents_eval/26e2/b564122a172b801ef5f2ca26653664119060-1/b564122a172b801ef5f2ca26653664119060-1.md,0.95,0.75,86.0,24.0
eval_split/succes/processed_00_documents_eval/2940/abcc48baf13c999078b52fb5d4a77d776f31-1/abcc48baf13c999078b52fb5d4a77d776f31-1.md,0.037,26.0,27.0,1.0
eval_split/succes/processed_00_documents_eval/3c1b/cfb3c555afe824df9292b45b1dca2beee901-24/cfb3c555afe824df9292b45b1dca2beee901-24.md,0.2,4.0,5.0,1.0
eval_split/succes/processed_00_documents_eval/4937/f74110c639ef6528765961ace71a004862e1-1/f74110c639ef6528765961ace71a004862e1-1.md,0.5,1.0,57.0,1.0
eval_split/succes/processed_00_documents_eval/4d6a/c0d97c47a9e33f54ce863869b9e8c4bed430-19/c0d97c47a9e33f54ce863869b9e8c4bed430-19.md,0.0278,35.0,36.0,1.0
graphic/alpha_calc_intro/alpha_calc_intro.md,0.0044,15.5,57.0,9.0
graphic/exp1/exp1.md,0.0023,13.3333,71.0,12.0
graphic/report/report.md,0.0833,11.0,12.0,8.0
graphic/text_in_fig2/text_in_fig2.md,0.0833,11.0,12.0,3.0
graphic/text_in_figure/text_in_figure.md,0.0086,9.0,29.0,11.0
multicolumn/3cols/3cols.md,0.0071,35.5,70.0,4.0
multicolumn/529c0e36ceb9881d6f2fbf9e86f8f3d99553-7/529c0e36ceb9881d6f2fbf9e86f8f3d99553-7.md,0.0123,80.0,81.0,3.0
multicolumn/ct-put-2024-03-05-02-49-07-a0f4d6b6-e021-4b4d-af5e-ce5143f175b3-16/ct-put-2024-03-05-02-49-07-a0f4d6b6-e021-4b4d-af5e-ce5143f175b3-16.md,0.5,1.0,37.0,2.0
multicolumn/exp1/exp1.md,0.0051,35.6667,65.0,45.0
