filename,overall,text_edit,text_edit_ned,reading_order,reading_order_ned,table_teds,table_teds_s,formula_cdm
average,0.7297,0.5169,1.7029,0.5164,1.7034,0.5744,0.5489,0.9894
code_block/BankApp.java/BankApp.java.md,0.8834,0.7125,0.2875,0.7044,0.2956,1.0,1.0,1.0
code_block/StudentGradeApp.java/StudentGradeApp.java.md,0.9473,0.8704,0.1296,0.8658,0.1342,1.0,1.0,1.0
code_block/TodoApp.java/TodoApp.java.md,0.9414,0.8532,0.1468,0.8539,0.1461,1.0,1.0,1.0
code_block/account_book.c/account_book.c.md,0.6,0.0,1.0669,0.0,1.0945,1.0,1.0,1.0
code_block/flashcards.py/flashcards.py.md,0.9266,0.8188,0.1812,0.8142,0.1858,1.0,1.0,1.0
code_block/image_tool.py/image_tool.py.md,0.9006,0.755,0.245,0.748,0.252,1.0,1.0,1.0
code_block/log_analyzer.py/log_analyzer.py.md,0.6,0.0,1.1698,0.0,1.201,1.0,1.0,1.0
code_block/md_to_html.c/md_to_html.c.md,0.6326,0.1067,0.8933,0.0562,0.9438,1.0,1.0,1.0
code_block/news_crawler.c/news_crawler.c.md,0.9656,0.9151,0.0849,0.9129,0.0871,1.0,1.0,1.0
code_block/notepad.c/notepad.c.md,0.9335,0.8347,0.1653,0.833,0.167,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/01d2/db669daf7d99d762eb952d64d207e27fef79-2/db669daf7d99d762eb952d64d207e27fef79-2.md,0.8937,0.7342,0.2658,0.7342,0.2658,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/01d2/db669daf7d99d762eb952d64d207e27fef79-4/db669daf7d99d762eb952d64d207e27fef79-4.md,0.2,0.0,1.2191,0.0,1.2191,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/04b4/edfed83e087cbef4bd1262c408886b04ce7e-1/edfed83e087cbef4bd1262c408886b04ce7e-1.md,0.2,0.0,1.0233,0.0,1.0233,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/04b4/edfed83e087cbef4bd1262c408886b04ce7e-2/edfed83e087cbef4bd1262c408886b04ce7e-2.md,0.2,0.0,1.1975,0.0,1.1975,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/061d/ad0ccb6efb83bb8b2584546e86354a7d2e59-26/ad0ccb6efb83bb8b2584546e86354a7d2e59-26.md,0.9559,0.8898,0.1102,0.8898,0.1102,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/0727/b0fcb8cb066698f2e2e815f2f3d2b727d45f-1/b0fcb8cb066698f2e2e815f2f3d2b727d45f-1.md,0.7349,0.3372,0.6628,0.3372,0.6628,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/07fb/d9477c8bed00f49d631d1fc90d29d1d70c8f-2/d9477c8bed00f49d631d1fc90d29d1d70c8f-2.md,0.2,0.0,1.0417,0.0,1.0417,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/07fb/d9477c8bed00f49d631d1fc90d29d1d70c8f-4/d9477c8bed00f49d631d1fc90d29d1d70c8f-4.md,0.6604,0.1613,0.8387,0.1613,0.8387,1.0,0.9796,1.0
eval_split/fail/processed_00_documents_eval/07fb/d9477c8bed00f49d631d1fc90d29d1d70c8f-6/d9477c8bed00f49d631d1fc90d29d1d70c8f-6.md,0.2,0.0,18.4474,0.0,18.4474,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/081f/70c4bbf2e4aeecf752051b7569e19f47d62e-5/70c4bbf2e4aeecf752051b7569e19f47d62e-5.md,0.241,0.1025,0.8975,0.1025,0.8975,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/0850/3b484b359d8d950fd2641fb8e05f18a31d7c-11/3b484b359d8d950fd2641fb8e05f18a31d7c-11.md,0.8724,0.6809,0.3191,0.6809,0.3191,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/088b/c38f32e301a7ced88d9d6302be1bc28b7412-1/c38f32e301a7ced88d9d6302be1bc28b7412-1.md,0.7134,0.2834,0.7166,0.2834,0.7166,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/0949/c1ac48c76a8e756f5c7a0f5c4175eca4cab0-17/c1ac48c76a8e756f5c7a0f5c4175eca4cab0-17.md,0.6591,0.1477,0.8523,0.1477,0.8523,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/0949/c1ac48c76a8e756f5c7a0f5c4175eca4cab0-18/c1ac48c76a8e756f5c7a0f5c4175eca4cab0-18.md,0.8439,0.6097,0.3903,0.6097,0.3903,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/09a8/e9a23c9ff1a999ab816150f7b3b864404435-1/e9a23c9ff1a999ab816150f7b3b864404435-1.md,0.5758,0.0297,0.9703,0.0297,0.9703,0.9221,0.8975,1.0
