filename,overall,text_edit,text_edit_ned,reading_order,reading_order_ned,table_teds,table_teds_s,formula_cdm
eval_split/fail/processed_00_documents_eval/0d2c/c8ea43964a0ed3a1b88740c6181a6eb7170a-1/c8ea43964a0ed3a1b88740c6181a6eb7170a-1.md,0.7722,0.4304,0.5696,0.4304,0.5696,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/0f87/a4d5fccd22674061b88cd74414200e5f51c0-158/a4d5fccd22674061b88cd74414200e5f51c0-158.md,0.9688,0.9219,0.0781,0.9219,0.0781,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/10d5/a0a644b0ad85d065e1b6cc8019ac5b79be79-1/a0a644b0ad85d065e1b6cc8019ac5b79be79-1.md,0.3607,0.4017,0.5983,0.4017,0.5983,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/14d0/4b04fcc1cdfa5f3fb92a85740e8ff3f1f851-3/4b04fcc1cdfa5f3fb92a85740e8ff3f1f851-3.md,0.8575,0.6437,0.3563,0.6437,0.3563,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/15ef/bea14f61ed341c3bcc1b7ef4e1ae3b22664b-3/bea14f61ed341c3bcc1b7ef4e1ae3b22664b-3.md,0.8923,0.7558,0.2442,0.7558,0.2442,1.0,0.9501,1.0
eval_split/fail/processed_00_documents_eval/1606/499074357e6b08801005f35c3198059cd6f5-1/499074357e6b08801005f35c3198059cd6f5-1.md,0.4413,0.0,2.1614,0.0,2.1378,0.6487,0.558,1.0
eval_split/fail/processed_00_documents_eval/1727/a93d26ca754b14d70b3c6e6620668ae87add-2/a93d26ca754b14d70b3c6e6620668ae87add-2.md,0.3802,0.0,1.1999,0.0,1.2027,0.4692,0.4321,1.0
eval_split/fail/processed_00_documents_eval/1727/a93d26ca754b14d70b3c6e6620668ae87add-4/a93d26ca754b14d70b3c6e6620668ae87add-4.md,0.6516,0.129,0.871,0.129,0.871,1.0,0.9998,1.0
eval_split/fail/processed_00_documents_eval/1727/a93d26ca754b14d70b3c6e6620668ae87add-6/a93d26ca754b14d70b3c6e6620668ae87add-6.md,0.7217,0.3945,0.6055,0.3945,0.6055,0.9097,0.9097,1.0
eval_split/fail/processed_00_documents_eval/1a0a/087e96361849f3228a35ac1a9cd064c7c345-1/087e96361849f3228a35ac1a9cd064c7c345-1.md,0.2,0.0,1.3425,0.0,1.3425,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/1af2/661ef31d843054c2148cd5294e11e16e7478-11/661ef31d843054c2148cd5294e11e16e7478-11.md,0.3536,0.0,1.1636,0.0,1.158,0.4111,0.3569,1.0
eval_split/fail/processed_00_documents_eval/1b8e/a2c7b6086e97e5c80e178b618cad970c5ef7-1/a2c7b6086e97e5c80e178b618cad970c5ef7-1.md,0.7824,0.4563,0.5437,0.4563,0.5437,1.0,0.9993,1.0
eval_split/fail/processed_00_documents_eval/1b8e/a2c7b6086e97e5c80e178b618cad970c5ef7-2/a2c7b6086e97e5c80e178b618cad970c5ef7-2.md,0.7485,0.3934,0.6066,0.3886,0.6114,1.0,0.9607,1.0
eval_split/fail/processed_00_documents_eval/207e/5c9f96d0b2bc893b7a8eeffe82d35eec45bf-1/5c9f96d0b2bc893b7a8eeffe82d35eec45bf-1.md,0.8757,0.6893,0.3107,0.6893,0.3107,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/207e/5c9f96d0b2bc893b7a8eeffe82d35eec45bf-2/5c9f96d0b2bc893b7a8eeffe82d35eec45bf-2.md,0.9377,0.8444,0.1556,0.8444,0.1556,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/207e/5c9f96d0b2bc893b7a8eeffe82d35eec45bf-3/5c9f96d0b2bc893b7a8eeffe82d35eec45bf-3.md,0.79,0.4751,0.5249,0.4751,0.5249,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/2144/76af4c58afaf6b514e493b5ebc37de7ae740-1/76af4c58afaf6b514e493b5ebc37de7ae740-1.md,0.8982,0.7607,0.2393,0.7614,0.2386,1.0,0.969,1.0
eval_split/fail/processed_00_documents_eval/2144/76af4c58afaf6b514e493b5ebc37de7ae740-2/76af4c58afaf6b514e493b5ebc37de7ae740-2.md,0.5693,0.3295,0.6705,0.3295,0.6705,0.6107,0.5771,1.0
eval_split/fail/processed_00_documents_eval/2277/002c7d3e4f836eb572be027dd64a69601222-2/002c7d3e4f836eb572be027dd64a69601222-2.md,0.3403,0.247,0.753,0.247,0.753,0.7165,0.438,0.0529
eval_split/fail/processed_00_documents_eval/2307/999a8e4c977d8537073c93f758949ad9aebd-1/999a8e4c977d8537073c93f758949ad9aebd-1.md,0.6,0.0,2.054,0.0,2.054,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/237a/ffd7475df298e4cb3b0e6d8433024d18804b-1/ffd7475df298e4cb3b0e6d8433024d18804b-1.md,0.2,0.0,1.2814,0.0,1.2814,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/244d/fa2d6b2d14c67ee657861d46ddc23f70159a-3/fa2d6b2d14c67ee657861d46ddc23f70159a-3.md,0.6316,0.0791,0.9209,0.0791,0.9209,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/2b61/25b2540c112810da2be4b4a7b4866ba38e7b-100/25b2540c112810da2be4b4a7b4866ba38e7b-100.md,0.96,0.9001,0.0999,0.9001,0.0999,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/2c24/8097a0ac5950b54857d2e1131db8c218f2b4-9/8097a0ac5950b54857d2e1131db8c218f2b4-9.md,0.6687,0.1718,0.8282,0.1718,0.8282,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/2c7c/85ae8de0456f29639a02f2c64012420f5f7e-3/85ae8de0456f29639a02f2c64012420f5f7e-3.md,0.2409,0.1023,0.8977,0.1023,0.8977,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/2c7c/85ae8de0456f29639a02f2c64012420f5f7e-7/85ae8de0456f29639a02f2c64012420f5f7e-7.md,0.8339,0.7652,0.2348,0.7623,0.2377,1.0,0.642,1.0
eval_split/fail/processed_00_documents_eval/2c7c/85ae8de0456f29639a02f2c64012420f5f7e-8/85ae8de0456f29639a02f2c64012420f5f7e-8.md,0.9279,0.8197,0.1803,0.8197,0.1803,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/2c7e/b9a3bab6f4c9897dd051993321a75d83bcc9-1/b9a3bab6f4c9897dd051993321a75d83bcc9-1.md,0.6912,0.2594,0.7406,0.2594,0.7406,0.9809,0.9562,1.0
eval_split/fail/processed_00_documents_eval/2d93/72e7afcb113e49363d6fd8fe2aa43d3e7364-16/72e7afcb113e49363d6fd8fe2aa43d3e7364-16.md,0.8318,0.5825,0.4175,0.5825,0.4175,1.0,0.9941,1.0
eval_split/fail/processed_00_documents_eval/2d93/72e7afcb113e49363d6fd8fe2aa43d3e7364-17/72e7afcb113e49363d6fd8fe2aa43d3e7364-17.md,0.9293,0.8307,0.1693,0.8312,0.1688,1.0,1.0,0.9846
eval_split/fail/processed_00_documents_eval/2e36/529c0e36ceb9881d6f2fbf9e86f8f3d99553-10/529c0e36ceb9881d6f2fbf9e86f8f3d99553-10.md,0.951,0.8776,0.1224,0.8776,0.1224,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/2ee0/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-3/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-3.md,0.6238,0.8379,0.1621,0.8293,0.1707,0.7483,0.7033,0.0
eval_split/fail/processed_00_documents_eval/2ee0/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-5/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-5.md,0.2,0.0,1.2026,0.0,1.2026,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/2ee0/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-6/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-6.md,0.2,0.0,1.7186,0.0,1.7186,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/2eef/968c28dac8b9edefa69276be2c0268f5c1bf-1/968c28dac8b9edefa69276be2c0268f5c1bf-1.md,0.5081,0.2595,0.7405,0.2595,0.7405,0.5541,0.4674,1.0
eval_split/fail/processed_00_documents_eval/301a/4279eb95686d90eff41110b9720cb53304d0-25/4279eb95686d90eff41110b9720cb53304d0-25.md,0.5668,0.417,0.583,0.417,0.583,0.5,0.5,1.0
eval_split/fail/processed_00_documents_eval/30c3/fc1826e230047b36cad79a7bd63296dd3591-1/fc1826e230047b36cad79a7bd63296dd3591-1.md,0.9153,0.7882,0.2118,0.7882,0.2118,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/30d2/90881f610f14dd10f73a036c5c30762c5814-1/90881f610f14dd10f73a036c5c30762c5814-1.md,0.8239,0.5605,0.4395,0.559,0.441,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/3465/69cfda07ee3b22dcd97df06f44b767b9127e-1/69cfda07ee3b22dcd97df06f44b767b9127e-1.md,0.7584,0.396,0.604,0.396,0.604,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/3465/69cfda07ee3b22dcd97df06f44b767b9127e-2/69cfda07ee3b22dcd97df06f44b767b9127e-2.md,0.8261,0.5652,0.4348,0.5652,0.4348,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/3489/dfefa5cae8d7389f264f30628a11a5993e29-1/dfefa5cae8d7389f264f30628a11a5993e29-1.md,0.8133,0.5333,0.4667,0.5333,0.4667,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/34e6/de6b9c2242fe22a4a80438a3b92caa9f0ed3-1/de6b9c2242fe22a4a80438a3b92caa9f0ed3-1.md,0.8929,0.7326,0.2674,0.732,0.268,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/3563/9b84c9f46cf886987dba1cee51078b7098df-2/9b84c9f46cf886987dba1cee51078b7098df-2.md,0.9216,0.804,0.196,0.804,0.196,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/35c4/635ad9c58f846d822f6a9ffbfef242f4344c-1/635ad9c58f846d822f6a9ffbfef242f4344c-1.md,0.8789,0.6973,0.3027,0.6973,0.3027,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/3793/1e2826f5d572ae2249080383652aac2060f4-4/1e2826f5d572ae2249080383652aac2060f4-4.md,0.9442,0.8604,0.1396,0.8604,0.1396,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/38a0/5f1430018686fe1b9005fe5ffdefb0caa5bf-5/5f1430018686fe1b9005fe5ffdefb0caa5bf-5.md,0.7752,0.4379,0.5621,0.4379,0.5621,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/3a3a/23d996db52315a6336a33c6ba65654c442c0-1/23d996db52315a6336a33c6ba65654c442c0-1.md,0.777,0.4425,0.5575,0.4425,0.5575,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/3a42/63029df5d1216ad16c77c7c3543489656828-12/63029df5d1216ad16c77c7c3543489656828-12.md,0.6256,0.1018,0.8982,0.1018,0.8982,1.0,0.9244,1.0
eval_split/fail/processed_00_documents_eval/3bbd/6227ebe0bae31f5b7d7d44801064c13e7b1f-1/6227ebe0bae31f5b7d7d44801064c13e7b1f-1.md,0.8972,0.7429,0.2571,0.7429,0.2571,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/3c1b/cfb3c555afe824df9292b45b1dca2beee901-60/cfb3c555afe824df9292b45b1dca2beee901-60.md,0.9252,0.813,0.187,0.813,0.187,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/3f6b/3e6102395160432aa23e09871d01a422d8b7-1/3e6102395160432aa23e09871d01a422d8b7-1.md,0.7895,0.4738,0.5262,0.4738,0.5262,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/3ff4/1131857095bd2034fa309e0ce8dcf8d7a87c-2/1131857095bd2034fa309e0ce8dcf8d7a87c-2.md,0.9106,0.7764,0.2236,0.7764,0.2236,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/41d0/904b50eb3f4b12c6c6f03006002379292390-122/904b50eb3f4b12c6c6f03006002379292390-122.md,0.6,0.0,1.6199,0.0,1.6075,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/41d0/904b50eb3f4b12c6c6f03006002379292390-157/904b50eb3f4b12c6c6f03006002379292390-157.md,0.4508,0.464,0.536,0.464,0.536,0.1629,0.1629,1.0
eval_split/fail/processed_00_documents_eval/43ba/b1d886a2b8e5371b39e1e18d9a044ed52bbd-7/b1d886a2b8e5371b39e1e18d9a044ed52bbd-7.md,0.2,0.0,2.4333,0.0,2.4333,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/44ae/79fa32bef66c0ec1cc772584e6a2cdc3382c-2/79fa32bef66c0ec1cc772584e6a2cdc3382c-2.md,0.5305,0.2711,0.7289,0.2684,0.7316,0.6065,0.5065,1.0
eval_split/fail/processed_00_documents_eval/44ce/8277cbee9471d1bbd7894ea026f03a6f93f1-15/8277cbee9471d1bbd7894ea026f03a6f93f1-15.md,0.8973,0.7445,0.2555,0.7421,0.2579,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/44ec/acd5f1350eb58f9071a064a53baa41367bc3-8/acd5f1350eb58f9071a064a53baa41367bc3-8.md,0.8065,0.5243,0.4757,0.5243,0.4757,1.0,0.984,1.0
eval_split/fail/processed_00_documents_eval/4552/682c8a2446b48cf2c49f03cce7f820a9c3ef-2/682c8a2446b48cf2c49f03cce7f820a9c3ef-2.md,0.6,0.0,2.4851,0.0,2.4851,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/4634/4f8d74b00a2ec1599b21f9de5c1e87ac60d7-1/4f8d74b00a2ec1599b21f9de5c1e87ac60d7-1.md,0.397,0.3077,0.6923,0.3077,0.6923,0.4957,0.495,0.3786
eval_split/fail/processed_00_documents_eval/464d/9baf6dba5ca45cad9edb5e88619c7d34e513-2/9baf6dba5ca45cad9edb5e88619c7d34e513-2.md,0.4002,0.0,1.1646,0.0,1.1519,0.5004,0.5004,1.0
eval_split/fail/processed_00_documents_eval/464d/9baf6dba5ca45cad9edb5e88619c7d34e513-3/9baf6dba5ca45cad9edb5e88619c7d34e513-3.md,0.9009,0.7522,0.2478,0.7522,0.2478,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/467d/1d428b7f065e87aac0064c41a5067359c8c4-3/1d428b7f065e87aac0064c41a5067359c8c4-3.md,0.8898,0.7254,0.2746,0.7254,0.2746,1.0,0.998,1.0
eval_split/fail/processed_00_documents_eval/481a/4f3b6d61ecf5670250c49ca8137aa1748ae0-18/4f3b6d61ecf5670250c49ca8137aa1748ae0-18.md,0.843,0.6081,0.3919,0.6067,0.3933,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/4a75/2e427f49c2efcbaea1fec85c1fb972b75884-47/2e427f49c2efcbaea1fec85c1fb972b75884-47.md,0.6149,0.0373,0.9627,0.0373,0.9627,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/4c7c/44ceb12d4eeb6d4922de85dcf4b0f54e6879-4/44ceb12d4eeb6d4922de85dcf4b0f54e6879-4.md,0.679,0.6903,0.3097,0.6875,0.3125,0.5471,0.4703,1.0
eval_split/fail/processed_00_documents_eval/4de1/bbaf48e5ba34104ba35b30580072dc4504a1-1/bbaf48e5ba34104ba35b30580072dc4504a1-1.md,0.5404,0.8509,0.1491,0.8509,0.1491,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/4eca/48903baf47bc6aabd07a5e743c6a0b4aad78-2/48903baf47bc6aabd07a5e743c6a0b4aad78-2.md,0.8609,0.6522,0.3478,0.6522,0.3478,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/4f5d/fec4f9451d7ec6991712b4012b6273f73322-2/fec4f9451d7ec6991712b4012b6273f73322-2.md,0.9417,0.8543,0.1457,0.8543,0.1457,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/4f78/515a8d4de088fe43cded787b74f061df19f7-1/515a8d4de088fe43cded787b74f061df19f7-1.md,0.8819,0.7046,0.2954,0.7046,0.2954,1.0,1.0,1.0
