filename,code_ted,code_ted_distance,code_nodes_pred,code_nodes_gt
average,0.047,14.8738,35.8,32.2
code_block/BankApp.java/BankApp.java.md,0.0015,14.0,94.0,107.0
code_block/StudentGradeApp.java/StudentGradeApp.java.md,0.0035,18.0,48.0,63.0
code_block/TodoApp.java/TodoApp.java.md,0.0067,19.3333,50.0,71.0
code_block/account_book.c/account_book.c.md,0.0074,16.2857,58.0,63.0
code_block/flashcards.py/flashcards.py.md,0.0029,17.1111,76.0,83.0
code_block/image_tool.py/image_tool.py.md,0.0034,12.1,59.0,67.0
code_block/log_analyzer.py/log_analyzer.py.md,0.0058,14.0,49.0,54.0
code_block/md_to_html.c/md_to_html.c.md,0.0058,14.0,49.0,54.0
code_block/news_crawler.c/news_crawler.c.md,0.0366,17.0,41.0,40.0
code_block/notepad.c/notepad.c.md,0.0,17.1111,77.0,104.0
eval_split/fail/processed_00_documents_eval/01d2/db669daf7d99d762eb952d64d207e27fef79-4/db669daf7d99d762eb952d64d207e27fef79-4.md,0.0025,3.8571,29.0,28.0
eval_split/fail/processed_00_documents_eval/04b4/edfed83e087cbef4bd1262c408886b04ce7e-2/edfed83e087cbef4bd1262c408886b04ce7e-2.md,0.0217,45.0,25.0,46.0
eval_split/fail/processed_00_documents_eval/0727/b0fcb8cb066698f2e2e815f2f3d2b727d45f-1/b0fcb8cb066698f2e2e815f2f3d2b727d45f-1.md,0.0159,10.0,21.0,15.0
eval_split/fail/processed_00_documents_eval/07fb/d9477c8bed00f49d631d1fc90d29d1d70c8f-2/d9477c8bed00f49d631d1fc90d29d1d70c8f-2.md,0.25,3.0,3.0,4.0
eval_split/fail/processed_00_documents_eval/081f/70c4bbf2e4aeecf752051b7569e19f47d62e-5/70c4bbf2e4aeecf752051b7569e19f47d62e-5.md,0.0013,3.12,31.0,50.0
eval_split/fail/processed_00_documents_eval/0a29/c89f314b8bdc504d35270d7c3d021a692bab-97/c89f314b8bdc504d35270d7c3d021a692bab-97.md,0.0556,9.5,7.0,20.0
eval_split/fail/processed_00_documents_eval/0c45/277a4d753f9de0d8a9155e6d13ad749ea05d-4/277a4d753f9de0d8a9155e6d13ad749ea05d-4.md,0.0013,11.1429,54.0,110.0
eval_split/fail/processed_00_documents_eval/10d5/a0a644b0ad85d065e1b6cc8019ac5b79be79-1/a0a644b0ad85d065e1b6cc8019ac5b79be79-1.md,0.0278,5.0,12.0,6.0
eval_split/fail/processed_00_documents_eval/1a0a/087e96361849f3228a35ac1a9cd064c7c345-1/087e96361849f3228a35ac1a9cd064c7c345-1.md,0.0172,15.0,29.0,4.0
eval_split/fail/processed_00_documents_eval/2144/76af4c58afaf6b514e493b5ebc37de7ae740-1/76af4c58afaf6b514e493b5ebc37de7ae740-1.md,0.25,64.0,131.0,129.0
eval_split/fail/processed_00_documents_eval/2144/76af4c58afaf6b514e493b5ebc37de7ae740-2/76af4c58afaf6b514e493b5ebc37de7ae740-2.md,0.0007,4.8846,58.0,72.0
eval_split/fail/processed_00_documents_eval/2277/002c7d3e4f836eb572be027dd64a69601222-2/002c7d3e4f836eb572be027dd64a69601222-2.md,0.0021,11.875,59.0,41.0
eval_split/fail/processed_00_documents_eval/237a/ffd7475df298e4cb3b0e6d8433024d18804b-1/ffd7475df298e4cb3b0e6d8433024d18804b-1.md,0.0435,22.0,23.0,7.0
eval_split/fail/processed_00_documents_eval/2c7c/85ae8de0456f29639a02f2c64012420f5f7e-3/85ae8de0456f29639a02f2c64012420f5f7e-3.md,0.0021,4.5385,36.0,26.0
eval_split/fail/processed_00_documents_eval/2ee0/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-3/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-3.md,0.8349,18.0,127.0,108.0
eval_split/fail/processed_00_documents_eval/3bbd/6227ebe0bae31f5b7d7d44801064c13e7b1f-1/6227ebe0bae31f5b7d7d44801064c13e7b1f-1.md,0.0081,15.3333,41.0,9.0
eval_split/fail/processed_00_documents_eval/3c1b/cfb3c555afe824df9292b45b1dca2beee901-60/cfb3c555afe824df9292b45b1dca2beee901-60.md,0.0217,14.5,23.0,14.0
eval_split/fail/processed_00_documents_eval/44ae/79fa32bef66c0ec1cc772584e6a2cdc3382c-2/79fa32bef66c0ec1cc772584e6a2cdc3382c-2.md,0.0154,4.8,13.0,15.0
eval_split/fail/processed_00_documents_eval/44ce/8277cbee9471d1bbd7894ea026f03a6f93f1-15/8277cbee9471d1bbd7894ea026f03a6f93f1-15.md,0.0455,21.0,22.0,1.0
eval_split/fail/processed_00_documents_eval/4634/4f8d74b00a2ec1599b21f9de5c1e87ac60d7-1/4f8d74b00a2ec1599b21f9de5c1e87ac60d7-1.md,0.0227,38.0,22.0,65.0
eval_split/fail/processed_00_documents_eval/481a/4f3b6d61ecf5670250c49ca8137aa1748ae0-18/4f3b6d61ecf5670250c49ca8137aa1748ae0-18.md,0.0125,5.4,16.0,15.0
eval_split/fail/processed_00_documents_eval/4c7c/44ceb12d4eeb6d4922de85dcf4b0f54e6879-4/44ceb12d4eeb6d4922de85dcf4b0f54e6879-4.md,0.0031,4.0,27.0,24.0
eval_split/fail/processed_00_documents_eval/4de1/bbaf48e5ba34104ba35b30580072dc4504a1-1/bbaf48e5ba34104ba35b30580072dc4504a1-1.md,0.0222,5.6667,15.0,5.0
eval_split/fail/processed_00_documents_eval/52b6/a22e645fc7d6b8845d9b5bd45539fe0606de-1/a22e645fc7d6b8845d9b5bd45539fe0606de-1.md,0.0833,11.0,12.0,2.0
eval_split/fail/processed_00_documents_eval/5814/d65c0b0948220abc02fb6714865e628ceb70-3/d65c0b0948220abc02fb6714865e628ceb70-3.md,0.0556,17.0,18.0,1.0
eval_split/fail/processed_00_documents_eval/5860/e964d37b5992dcfc2255bfe9e3a054cab430-1/e964d37b5992dcfc2255bfe9e3a054cab430-1.md,0.0455,6.5,11.0,6.0
eval_split/succes/processed_00_documents_eval/0c45/277a4d753f9de0d8a9155e6d13ad749ea05d-1/277a4d753f9de0d8a9155e6d13ad749ea05d-1.md,0.0357,27.0,28.0,1.0
eval_split/succes/processed_00_documents_eval/14d0/4b04fcc1cdfa5f3fb92a85740e8ff3f1f851-2/4b04fcc1cdfa5f3fb92a85740e8ff3f1f851-2.md,0.0037,3.0,18.0,30.0
eval_split/succes/processed_00_documents_eval/15ef/bea14f61ed341c3bcc1b7ef4e1ae3b22664b-1/bea14f61ed341c3bcc1b7ef4e1ae3b22664b-1.md,0.0132,8.25,19.0,20.0
eval_split/succes/processed_00_documents_eval/19e0/782bf72ebc90516e87030ef592549551f151-1/782bf72ebc90516e87030ef592549551f151-1.md,0.0161,18.0,31.0,12.0
eval_split/succes/processed_00_documents_eval/22d6/4b9b312f8e52a78068c20288594c2ab007d4-1/4b9b312f8e52a78068c20288594c2ab007d4-1.md,0.0029,3.8333,19.0,54.0
eval_split/succes/processed_00_documents_eval/26e2/b564122a172b801ef5f2ca26653664119060-1/b564122a172b801ef5f2ca26653664119060-1.md,0.0586,14.5,64.0,24.0
eval_split/succes/processed_00_documents_eval/2940/abcc48baf13c999078b52fb5d4a77d776f31-1/abcc48baf13c999078b52fb5d4a77d776f31-1.md,0.0833,11.0,12.0,1.0
