split,count,overall,text_edit,text_edit_ned,reading_order,reading_order_ned,table_teds,table_teds_s,formula_cdm
fail,100,0.6928,0.4515,0.6961,0.4516,0.6954,0.8029,0.7839,0.9742
success,100,0.8871,0.749,0.2731,0.7485,0.2733,0.9711,0.967,1.0
