filename,heading_structure_p,heading_structure_r,heading_structure_f1,level_p,level_r,level_f1,list_p,list_r,list_f1,text_edit,text_edit_sim,paragraph_pairs,contents_sim
eval_split/fail/processed_00_documents_eval/0c3c/8aa760bff3904d0693fd828eeee815a57afe-8/8aa760bff3904d0693fd828eeee815a57afe-8.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9971,0.0029,21.0,0.8216
eval_split/fail/processed_00_documents_eval/0c45/277a4d753f9de0d8a9155e6d13ad749ea05d-4/277a4d753f9de0d8a9155e6d13ad749ea05d-4.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1454,0.8546,6.0,0.4966
eval_split/fail/processed_00_documents_eval/0c8f/431e55703d66d313eca3a42c6307951a81d8-141/431e55703d66d313eca3a42c6307951a81d8-141.md,1.0,0.0714,0.1333,1.0,0.0714,0.1333,0.5938,0.5938,0.5938,0.3266,0.6734,16.0,0.6667
eval_split/fail/processed_00_documents_eval/0d16/b4ef03a883ba0bed6ca9021684335baabb2a-3/b4ef03a883ba0bed6ca9021684335baabb2a-3.md,1.0,1.0,1.0,1.0,1.0,1.0,0.8333,0.8333,0.8333,0.0009,0.9991,5.0,0.9835
eval_split/fail/processed_00_documents_eval/0d2c/c8ea43964a0ed3a1b88740c6181a6eb7170a-1/c8ea43964a0ed3a1b88740c6181a6eb7170a-1.md,1.0,1.0,1.0,0.2222,0.2222,0.2222,1.0,1.0,1.0,0.0473,0.9527,8.0,0.9497
eval_split/fail/processed_00_documents_eval/0f87/a4d5fccd22674061b88cd74414200e5f51c0-158/a4d5fccd22674061b88cd74414200e5f51c0-158.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0479,0.9521,4.0,0.8855
eval_split/fail/processed_00_documents_eval/10d5/a0a644b0ad85d065e1b6cc8019ac5b79be79-1/a0a644b0ad85d065e1b6cc8019ac5b79be79-1.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9952,0.0048,4.0,0.5019
eval_split/fail/processed_00_documents_eval/14d0/4b04fcc1cdfa5f3fb92a85740e8ff3f1f851-3/4b04fcc1cdfa5f3fb92a85740e8ff3f1f851-3.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004,0.9996,24.0,1.0
eval_split/fail/processed_00_documents_eval/15ef/bea14f61ed341c3bcc1b7ef4e1ae3b22664b-3/bea14f61ed341c3bcc1b7ef4e1ae3b22664b-3.md,0.8,0.4444,0.5714,0.0,0.0,0.0,1.0,1.0,1.0,0.2226,0.7774,8.0,0.8511
eval_split/fail/processed_00_documents_eval/1606/499074357e6b08801005f35c3198059cd6f5-1/499074357e6b08801005f35c3198059cd6f5-1.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9687,0.0313,2.0,0.0012
eval_split/fail/processed_00_documents_eval/1727/a93d26ca754b14d70b3c6e6620668ae87add-2/a93d26ca754b14d70b3c6e6620668ae87add-2.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9966,0.0034,9.0,0.3583
eval_split/fail/processed_00_documents_eval/1727/a93d26ca754b14d70b3c6e6620668ae87add-6/a93d26ca754b14d70b3c6e6620668ae87add-6.md,0.5,0.3333,0.4,0.5,0.3333,0.4,1.0,1.0,1.0,0.244,0.756,7.0,0.6367
eval_split/fail/processed_00_documents_eval/1a0a/087e96361849f3228a35ac1a9cd064c7c345-1/087e96361849f3228a35ac1a9cd064c7c345-1.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.958,0.042,9.0,0.0211
eval_split/fail/processed_00_documents_eval/1af2/661ef31d843054c2148cd5294e11e16e7478-11/661ef31d843054c2148cd5294e11e16e7478-11.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9909,0.0091,5.0,0.348
eval_split/fail/processed_00_documents_eval/1b8e/a2c7b6086e97e5c80e178b618cad970c5ef7-1/a2c7b6086e97e5c80e178b618cad970c5ef7-1.md,0.6111,1.0,0.7586,0.1111,0.1818,0.1379,1.0,1.0,1.0,0.0008,0.9992,20.0,0.9609
eval_split/fail/processed_00_documents_eval/1b8e/a2c7b6086e97e5c80e178b618cad970c5ef7-2/a2c7b6086e97e5c80e178b618cad970c5ef7-2.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953,0.0047,25.0,0.5065
eval_split/fail/processed_00_documents_eval/207e/5c9f96d0b2bc893b7a8eeffe82d35eec45bf-1/5c9f96d0b2bc893b7a8eeffe82d35eec45bf-1.md,1.0,0.8571,0.9231,0.5,0.4286,0.4615,0.5714,0.5714,0.5714,0.0235,0.9765,10.0,0.7603
eval_split/fail/processed_00_documents_eval/207e/5c9f96d0b2bc893b7a8eeffe82d35eec45bf-2/5c9f96d0b2bc893b7a8eeffe82d35eec45bf-2.md,1.0,0.8,0.8889,0.0,0.0,0.0,1.0,1.0,1.0,0.0121,0.9879,8.0,0.9871
eval_split/fail/processed_00_documents_eval/207e/5c9f96d0b2bc893b7a8eeffe82d35eec45bf-3/5c9f96d0b2bc893b7a8eeffe82d35eec45bf-3.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0948,0.9052,9.0,0.4245
eval_split/fail/processed_00_documents_eval/2144/76af4c58afaf6b514e493b5ebc37de7ae740-1/76af4c58afaf6b514e493b5ebc37de7ae740-1.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5047,0.4953,3.0,0.2195
eval_split/fail/processed_00_documents_eval/2144/76af4c58afaf6b514e493b5ebc37de7ae740-2/76af4c58afaf6b514e493b5ebc37de7ae740-2.md,0.8571,1.0,0.9231,0.8571,1.0,0.9231,0.0,0.0,0.0,0.0048,0.9952,11.0,1.0
eval_split/fail/processed_00_documents_eval/2277/002c7d3e4f836eb572be027dd64a69601222-2/002c7d3e4f836eb572be027dd64a69601222-2.md,0.9231,0.8571,0.8889,0.5385,0.5,0.5185,0.0,0.0,0.0,0.8518,0.1482,22.0,0.2319
eval_split/fail/processed_00_documents_eval/2307/999a8e4c977d8537073c93f758949ad9aebd-1/999a8e4c977d8537073c93f758949ad9aebd-1.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8951,0.1049,17.0,0.1553
eval_split/fail/processed_00_documents_eval/237a/ffd7475df298e4cb3b0e6d8433024d18804b-1/ffd7475df298e4cb3b0e6d8433024d18804b-1.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6361,0.3639,6.0,0.4476
eval_split/fail/processed_00_documents_eval/244d/fa2d6b2d14c67ee657861d46ddc23f70159a-3/fa2d6b2d14c67ee657861d46ddc23f70159a-3.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7059,0.2941,4.0,0.4176
eval_split/fail/processed_00_documents_eval/2b61/25b2540c112810da2be4b4a7b4866ba38e7b-100/25b2540c112810da2be4b4a7b4866ba38e7b-100.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0
eval_split/fail/processed_00_documents_eval/2c24/8097a0ac5950b54857d2e1131db8c218f2b4-9/8097a0ac5950b54857d2e1131db8c218f2b4-9.md,0.625,1.0,0.7692,0.625,1.0,0.7692,0.6087,0.6087,0.6087,0.1226,0.8774,9.0,0.8395
eval_split/fail/processed_00_documents_eval/2c7c/85ae8de0456f29639a02f2c64012420f5f7e-3/85ae8de0456f29639a02f2c64012420f5f7e-3.md,0.875,0.875,0.875,0.125,0.125,0.125,0.2857,0.2857,0.2857,0.3486,0.6514,12.0,0.2855
eval_split/fail/processed_00_documents_eval/2c7c/85ae8de0456f29639a02f2c64012420f5f7e-7/85ae8de0456f29639a02f2c64012420f5f7e-7.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9052,0.0948,6.0,0.8139
eval_split/fail/processed_00_documents_eval/2c7c/85ae8de0456f29639a02f2c64012420f5f7e-8/85ae8de0456f29639a02f2c64012420f5f7e-8.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/2c7e/b9a3bab6f4c9897dd051993321a75d83bcc9-1/b9a3bab6f4c9897dd051993321a75d83bcc9-1.md,1.0,0.7143,0.8333,1.0,0.7143,0.8333,1.0,1.0,1.0,0.0559,0.9441,7.0,0.7437
eval_split/fail/processed_00_documents_eval/2d93/72e7afcb113e49363d6fd8fe2aa43d3e7364-16/72e7afcb113e49363d6fd8fe2aa43d3e7364-16.md,1.0,0.3333,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0908,0.9092,5.0,0.7982
eval_split/fail/processed_00_documents_eval/2d93/72e7afcb113e49363d6fd8fe2aa43d3e7364-17/72e7afcb113e49363d6fd8fe2aa43d3e7364-17.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9816,0.0184,4.0,0.8353
eval_split/fail/processed_00_documents_eval/2e36/529c0e36ceb9881d6f2fbf9e86f8f3d99553-10/529c0e36ceb9881d6f2fbf9e86f8f3d99553-10.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0
eval_split/fail/processed_00_documents_eval/2ee0/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-3/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-3.md,0.8,1.0,0.8889,0.2,0.25,0.2222,1.0,1.0,1.0,0.1667,0.8333,6.0,0.8869
eval_split/fail/processed_00_documents_eval/2ee0/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-5/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-5.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7574,0.2426,27.0,0.0997
eval_split/fail/processed_00_documents_eval/2ee0/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-6/d04bc71abd5f92c6e3bf1d72ba3f04b9dddb-6.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8131,0.1869,22.0,0.0773
eval_split/fail/processed_00_documents_eval/2eef/968c28dac8b9edefa69276be2c0268f5c1bf-1/968c28dac8b9edefa69276be2c0268f5c1bf-1.md,0.9167,0.8462,0.88,0.4583,0.4231,0.44,0.2857,0.2857,0.2857,0.6939,0.3061,15.0,0.0617
eval_split/fail/processed_00_documents_eval/301a/4279eb95686d90eff41110b9720cb53304d0-25/4279eb95686d90eff41110b9720cb53304d0-25.md,0.8571,0.8571,0.8571,0.8571,0.8571,0.8571,1.0,1.0,1.0,0.0615,0.9385,17.0,0.8484
eval_split/fail/processed_00_documents_eval/30c3/fc1826e230047b36cad79a7bd63296dd3591-1/fc1826e230047b36cad79a7bd63296dd3591-1.md,0.8,1.0,0.8889,0.0,0.0,0.0,1.0,1.0,1.0,0.125,0.875,8.0,0.9794
eval_split/fail/processed_00_documents_eval/30d2/90881f610f14dd10f73a036c5c30762c5814-1/90881f610f14dd10f73a036c5c30762c5814-1.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9867,0.0133,8.0,0.4405
eval_split/fail/processed_00_documents_eval/3465/69cfda07ee3b22dcd97df06f44b767b9127e-1/69cfda07ee3b22dcd97df06f44b767b9127e-1.md,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.1,0.9,3.0,0.3585
eval_split/fail/processed_00_documents_eval/3465/69cfda07ee3b22dcd97df06f44b767b9127e-2/69cfda07ee3b22dcd97df06f44b767b9127e-2.md,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3841,0.6159,1.0,0.771
eval_split/fail/processed_00_documents_eval/3489/dfefa5cae8d7389f264f30628a11a5993e29-1/dfefa5cae8d7389f264f30628a11a5993e29-1.md,0.6667,1.0,0.8,0.6667,1.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,1.0
eval_split/fail/processed_00_documents_eval/34e6/de6b9c2242fe22a4a80438a3b92caa9f0ed3-1/de6b9c2242fe22a4a80438a3b92caa9f0ed3-1.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0048,0.9952,9.0,0.7257
eval_split/fail/processed_00_documents_eval/3563/9b84c9f46cf886987dba1cee51078b7098df-2/9b84c9f46cf886987dba1cee51078b7098df-2.md,0.7143,0.7143,0.7143,0.2857,0.2857,0.2857,1.0,1.0,1.0,0.0057,0.9943,7.0,0.945
eval_split/fail/processed_00_documents_eval/35c4/635ad9c58f846d822f6a9ffbfef242f4344c-1/635ad9c58f846d822f6a9ffbfef242f4344c-1.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009,0.9991,4.0,0.9574
eval_split/fail/processed_00_documents_eval/3793/1e2826f5d572ae2249080383652aac2060f4-4/1e2826f5d572ae2249080383652aac2060f4-4.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4562,0.5438,3.0,1.0
eval_split/fail/processed_00_documents_eval/38a0/5f1430018686fe1b9005fe5ffdefb0caa5bf-5/5f1430018686fe1b9005fe5ffdefb0caa5bf-5.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1744,0.8256,4.0,0.6126
eval_split/fail/processed_00_documents_eval/3a3a/23d996db52315a6336a33c6ba65654c442c0-1/23d996db52315a6336a33c6ba65654c442c0-1.md,0.5,0.0909,0.1538,0.5,0.0909,0.1538,0.0,0.0,0.0,0.1193,0.8807,15.0,0.7782
eval_split/fail/processed_00_documents_eval/3a42/63029df5d1216ad16c77c7c3543489656828-12/63029df5d1216ad16c77c7c3543489656828-12.md,0.6667,1.0,0.8,0.6667,1.0,0.8,0.0,0.0,0.0,0.3352,0.6648,4.0,0.2008
eval_split/fail/processed_00_documents_eval/3bbd/6227ebe0bae31f5b7d7d44801064c13e7b1f-1/6227ebe0bae31f5b7d7d44801064c13e7b1f-1.md,1.0,0.1111,0.2,1.0,0.1111,0.2,1.0,1.0,1.0,0.0435,0.9565,11.0,0.8694
eval_split/fail/processed_00_documents_eval/3c1b/cfb3c555afe824df9292b45b1dca2beee901-60/cfb3c555afe824df9292b45b1dca2beee901-60.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0226,0.9774,9.0,0.9738
eval_split/fail/processed_00_documents_eval/3f6b/3e6102395160432aa23e09871d01a422d8b7-1/3e6102395160432aa23e09871d01a422d8b7-1.md,0.5,1.0,0.6667,0.5,1.0,0.6667,1.0,1.0,1.0,0.0169,0.9831,4.0,0.9128
eval_split/fail/processed_00_documents_eval/3ff4/1131857095bd2034fa309e0ce8dcf8d7a87c-2/1131857095bd2034fa309e0ce8dcf8d7a87c-2.md,1.0,1.0,1.0,0.8,0.8,0.8,1.0,1.0,1.0,0.0289,0.9711,8.0,0.9682
eval_split/fail/processed_00_documents_eval/41d0/904b50eb3f4b12c6c6f03006002379292390-122/904b50eb3f4b12c6c6f03006002379292390-122.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.943,0.057,2.0,0.0815
eval_split/fail/processed_00_documents_eval/41d0/904b50eb3f4b12c6c6f03006002379292390-157/904b50eb3f4b12c6c6f03006002379292390-157.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016,0.8984,4.0,0.9266
eval_split/fail/processed_00_documents_eval/43ba/b1d886a2b8e5371b39e1e18d9a044ed52bbd-7/b1d886a2b8e5371b39e1e18d9a044ed52bbd-7.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9494,0.0506,9.0,0.0092
eval_split/fail/processed_00_documents_eval/44ae/79fa32bef66c0ec1cc772584e6a2cdc3382c-2/79fa32bef66c0ec1cc772584e6a2cdc3382c-2.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.958,0.042,5.0,0.5524
eval_split/fail/processed_00_documents_eval/44ce/8277cbee9471d1bbd7894ea026f03a6f93f1-15/8277cbee9471d1bbd7894ea026f03a6f93f1-15.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9956,0.0044,16.0,0.8302
eval_split/fail/processed_00_documents_eval/44ec/acd5f1350eb58f9071a064a53baa41367bc3-8/acd5f1350eb58f9071a064a53baa41367bc3-8.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/4552/682c8a2446b48cf2c49f03cce7f820a9c3ef-2/682c8a2446b48cf2c49f03cce7f820a9c3ef-2.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5161,0.4839,4.0,0.0015
eval_split/fail/processed_00_documents_eval/4634/4f8d74b00a2ec1599b21f9de5c1e87ac60d7-1/4f8d74b00a2ec1599b21f9de5c1e87ac60d7-1.md,1.0,1.0,1.0,0.6667,0.6667,0.6667,1.0,1.0,1.0,0.5608,0.4392,7.0,0.5911
eval_split/fail/processed_00_documents_eval/464d/9baf6dba5ca45cad9edb5e88619c7d34e513-2/9baf6dba5ca45cad9edb5e88619c7d34e513-2.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9612,0.0388,2.0,0.0178
eval_split/fail/processed_00_documents_eval/464d/9baf6dba5ca45cad9edb5e88619c7d34e513-3/9baf6dba5ca45cad9edb5e88619c7d34e513-3.md,0.3333,1.0,0.5,0.0,0.0,0.0,0.8333,0.8333,0.8333,0.0386,0.9614,11.0,0.9361
eval_split/fail/processed_00_documents_eval/467d/1d428b7f065e87aac0064c41a5067359c8c4-3/1d428b7f065e87aac0064c41a5067359c8c4-3.md,0.6667,1.0,0.8,0.6667,1.0,0.8,1.0,1.0,1.0,0.0012,0.9988,8.0,0.9439
eval_split/fail/processed_00_documents_eval/481a/4f3b6d61ecf5670250c49ca8137aa1748ae0-18/4f3b6d61ecf5670250c49ca8137aa1748ae0-18.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9965,0.0035,10.0,0.7081
eval_split/fail/processed_00_documents_eval/4a75/2e427f49c2efcbaea1fec85c1fb972b75884-47/2e427f49c2efcbaea1fec85c1fb972b75884-47.md,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5714,0.4286,7.0,0.4724
eval_split/fail/processed_00_documents_eval/4c7c/44ceb12d4eeb6d4922de85dcf4b0f54e6879-4/44ceb12d4eeb6d4922de85dcf4b0f54e6879-4.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976,0.0024,15.0,0.5254
eval_split/fail/processed_00_documents_eval/4de1/bbaf48e5ba34104ba35b30580072dc4504a1-1/bbaf48e5ba34104ba35b30580072dc4504a1-1.md,1.0,0.6667,0.8,1.0,0.6667,0.8,1.0,1.0,1.0,0.6154,0.3846,5.0,0.9607
eval_split/fail/processed_00_documents_eval/4eca/48903baf47bc6aabd07a5e743c6a0b4aad78-2/48903baf47bc6aabd07a5e743c6a0b4aad78-2.md,0.6667,0.4,0.5,0.6667,0.4,0.5,1.0,1.0,1.0,0.0495,0.9505,5.0,0.9805
eval_split/fail/processed_00_documents_eval/4f5d/fec4f9451d7ec6991712b4012b6273f73322-2/fec4f9451d7ec6991712b4012b6273f73322-2.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0
